source_row,item_code,source_name,source_category,source_jp_size,quantity,mapped_family,age,candidate_season,candidate_brand,candidate_size,tier_status,store_status,bsl_status,importable,blocking_reason
3,L47923500139,SKI SET E S/MAX 4 + M10 GW L80 139,大人スキー,,10,SKI,ADULT,2026/27,SALOMON,139 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
4,L47923500146,SKI SET E S/MAX 4 + M10 GW L80 146,大人スキー,,20,SKI,ADULT,2026/27,SALOMON,146 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
5,L47923500153,SKI SET E S/MAX 4 + M10 GW L80 153,大人スキー,,30,SKI,ADULT,2026/27,SALOMON,153 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
6,L47923500160,SKI SET E S/MAX 4 + M10 GW L80 160,大人スキー,,30,SKI,ADULT,2026/27,SALOMON,160 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
7,L47923500167,SKI SET E S/MAX 4 + M10 GW L80 167,大人スキー,,20,SKI,ADULT,2026/27,SALOMON,167 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
8,L47923500174,SKI SET E S/MAX 4 + M10 GW L80 174,大人スキー,,10,SKI,ADULT,2026/27,SALOMON,174 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
9,L45421800130,SKI SET L EQUIPE Jr M + C5 GW J75 Ra 130,子供スキー,,20,SKI,KIDS,2026/27,SALOMON,130 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
10,L45421800140,SKI SET L EQUIPE Jr M + C5 GW J75 Ra 140,子供スキー,,20,SKI,KIDS,2026/27,SALOMON,140 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
11,L45422000100,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 100,子供スキー,,1,SKI,KIDS,2026/27,SALOMON,100 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
12,L45422000100,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 100,子供スキー,,9,SKI,KIDS,2026/27,SALOMON,100 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
