source,family,age,source_size,booking_size,size_mapping_status,quantity,unit_note,provenance
SOURCE_A,SKI,ADULT,139 cm,139 cm,MAPPED,10,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 3
SOURCE_A,SKI,ADULT,146 cm,146 cm,MAPPED,20,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 4
SOURCE_A,SKI,ADULT,153 cm,153 cm,MAPPED,30,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 5
SOURCE_A,SKI,ADULT,160 cm,160 cm,MAPPED,30,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 6
SOURCE_A,SKI,ADULT,167 cm,167 cm,MAPPED,20,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 7
SOURCE_A,SKI,ADULT,174 cm,174 cm,MAPPED,10,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 8
SOURCE_A,SKI,KIDS,130 cm,130 cm,MAPPED,20,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 9
SOURCE_A,SKI,KIDS,140 cm,140 cm,MAPPED,20,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 10
SOURCE_A,SKI,KIDS,100 cm,100 cm,MAPPED,10,ASSET_PAIR,"PROVISIONAL_CATALOG_MAPPING.csv rows 11,12"
SOURCE_A,SKI,KIDS,110 cm,110 cm,MAPPED,15,ASSET_PAIR,"PROVISIONAL_CATALOG_MAPPING.csv rows 13,14"
SOURCE_A,SKI,KIDS,120 cm,120 cm,MAPPED,15,ASSET_PAIR,"PROVISIONAL_CATALOG_MAPPING.csv rows 15,16,17"
SOURCE_A,SKI,KIDS,70 cm,70 cm,MAPPED,3,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 18
SOURCE_A,SKI,KIDS,80 cm,80 cm,MAPPED,5,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 19
SOURCE_A,SKI,KIDS,90 cm,90 cm,MAPPED,5,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 20
SOURCE_A,SKI_BOOT,ADULT,22/22.5,22/22.5,MAPPED,8,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 21
SOURCE_A,SKI_BOOT,ADULT,23/23.5,23/23.5,MAPPED,12,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 22
SOURCE_A,SKI_BOOT,ADULT,24/24.5,24/24.5,MAPPED,16,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 23
SOURCE_A,SKI_BOOT,ADULT,25/25.5,25/25.5,MAPPED,20,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 24
SOURCE_A,SKI_BOOT,ADULT,26/26.5,26/26.5,MAPPED,24,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 25
SOURCE_A,SKI_BOOT,ADULT,27/27.5,27/27.5,MAPPED,24,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 26
