source,family,age,source_size,booking_size,size_mapping_status,quantity,unit_note,provenance
SOURCE_B,SKI,ADULT,125 cm,125 cm,MAPPED,5,ASSET_PAIR,main/EXP + S/MAX6 combined length aggregate
SOURCE_B,SKI,ADULT,139 cm,139 cm,MAPPED,4,ASSET_PAIR,main/EXP + S/MAX6 combined length aggregate
SOURCE_B,SKI,ADULT,140 cm,140 cm,MAPPED,3,ASSET_PAIR,main/EXP + S/MAX6 combined length aggregate
SOURCE_B,SKI,ADULT,145 cm,145 cm,MAPPED,5,ASSET_PAIR,main/EXP + S/MAX6 combined length aggregate
SOURCE_B,SKI,ADULT,146 cm,146 cm,MAPPED,9,ASSET_PAIR,main/EXP + S/MAX6 combined length aggregate
SOURCE_B,SKI,ADULT,150 cm,150 cm,MAPPED,7,ASSET_PAIR,main/EXP + S/MAX6 combined length aggregate
SOURCE_B,SKI,ADULT,153 cm,153 cm,MAPPED,9,ASSET_PAIR,main/EXP + S/MAX6 combined length aggregate
SOURCE_B,SKI,ADULT,155 cm,155 cm,MAPPED,5,ASSET_PAIR,main/EXP + S/MAX6 combined length aggregate
SOURCE_B,SKI,ADULT,160 cm,160 cm,MAPPED,17,ASSET_PAIR,main/EXP + S/MAX6 combined length aggregate
SOURCE_B,SKI,ADULT,167 cm,167 cm,MAPPED,5,ASSET_PAIR,main/EXP + S/MAX6 combined length aggregate
SOURCE_B,SKI,KIDS,70 cm,70 cm,MAPPED,2,ASSET_PAIR,kids ski length aggregate
SOURCE_B,SKI,KIDS,80 cm,80 cm,MAPPED,5,ASSET_PAIR,kids ski length aggregate
SOURCE_B,SKI,KIDS,90 cm,90 cm,MAPPED,2,ASSET_PAIR,kids ski length aggregate
SOURCE_B,SKI,KIDS,100 cm,100 cm,MAPPED,6,ASSET_PAIR,kids ski length aggregate
SOURCE_B,SKI,KIDS,110 cm,110 cm,MAPPED,3,ASSET_PAIR,kids ski length aggregate
SOURCE_B,SKI,KIDS,120 cm,120 cm,MAPPED,6,ASSET_PAIR,kids ski length aggregate
SOURCE_B,SKI,KIDS,130 cm,130 cm,MAPPED,3,ASSET_PAIR,kids ski length aggregate
SOURCE_B,SKI,KIDS,140 cm,140 cm,MAPPED,2,ASSET_PAIR,kids ski length aggregate
SOURCE_B,SKI_BOOT,ADULT,22X,,BOOKING_SIZE_MAPPING_REQUIRED,3,ASSET_PAIR,adult ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,ADULT,23X,,BOOKING_SIZE_MAPPING_REQUIRED,4,ASSET_PAIR,adult ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,ADULT,24X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,adult ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,ADULT,25X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,adult ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,ADULT,26X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,adult ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,ADULT,27X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,adult ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,ADULT,28X,,BOOKING_SIZE_MAPPING_REQUIRED,3,ASSET_PAIR,adult ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,ADULT,29X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,adult ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,ADULT,30X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,adult ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,ADULT,31X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,adult ski boot X-token aggregate; no reviewed alias exists for this token format
