equipment_product_key,duration,label,equipment_jpy,wear_alone_jpy,wear_bundle_adjustment_jpy,wear_addon_jpy,combined_total_jpy,early_discount_jpy,combined_early_total_jpy,tax_status
SKI_SET_ADULT_REGULAR,HALF_DAY_AM,午前半日,5600,3000,600,2400,8000,400,7600,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,HALF_DAY_PM,午後半日,5600,3000,600,2400,8000,400,7600,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,DAY_1,1日,7500,5000,1000,4000,11500,575,10925,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,DAY_2,2日,13800,9000,1800,7200,21000,1050,19950,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,DAY_3,3日,19600,12500,2500,10000,29600,1480,28120,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,DAY_4,4日,24900,15500,3100,12400,37300,1865,35435,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,DAY_5,5日,29600,18000,3600,14400,44000,2200,41800,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,DAY_6,6日,34200,20000,4000,16000,50200,2510,47690,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,DAY_7,7日,38300,22000,4400,17600,55900,2795,53105,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,DAY_8,8日,42000,23500,4700,18800,60800,3040,57760,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,DAY_9,9日,45200,25000,5000,20000,65200,3260,61940,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_REGULAR,DAY_10,10日,48000,26500,5300,21200,69200,3460,65740,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,HALF_DAY_AM,午前半日,6800,3000,600,2400,9200,460,8740,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,HALF_DAY_PM,午後半日,6800,3000,600,2400,9200,460,8740,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,DAY_1,1日,9000,5000,1000,4000,13000,650,12350,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,DAY_2,2日,16600,9000,1800,7200,23800,1190,22610,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,DAY_3,3日,23500,12500,2500,10000,33500,1675,31825,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,DAY_4,4日,29900,15500,3100,12400,42300,2115,40185,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,DAY_5,5日,35600,18000,3600,14400,50000,2500,47500,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,DAY_6,6日,41000,20000,4000,16000,57000,2850,54150,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,DAY_7,7日,46000,22000,4400,17600,63600,3180,60420,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,DAY_8,8日,50400,23500,4700,18800,69200,3460,65740,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,DAY_9,9日,54300,25000,5000,20000,74300,3715,70585,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_ADULT_PREMIUM,DAY_10,10日,57600,26500,5300,21200,78800,3940,74860,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,HALF_DAY_AM,午前半日,3000,2000,400,1600,4600,230,4370,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,HALF_DAY_PM,午後半日,3000,2000,400,1600,4600,230,4370,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,DAY_1,1日,4000,3500,700,2800,6800,340,6460,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,DAY_2,2日,7400,6000,1200,4800,12200,610,11590,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,DAY_3,3日,10400,8000,1600,6400,16800,840,15960,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,DAY_4,4日,13300,10000,2000,8000,21300,1065,20235,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,DAY_5,5日,15800,11500,2300,9200,25000,1250,23750,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,DAY_6,6日,18200,13000,2600,10400,28600,1430,27170,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,DAY_7,7日,20400,14500,2900,11600,32000,1600,30400,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,DAY_8,8日,22400,16000,3200,12800,35200,1760,33440,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,DAY_9,9日,24100,17000,3400,13600,37700,1885,35815,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SKI_SET_KIDS_REGULAR,DAY_10,10日,25600,18000,3600,14400,40000,2000,38000,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,HALF_DAY_AM,午前半日,5600,3000,600,2400,8000,400,7600,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,HALF_DAY_PM,午後半日,5600,3000,600,2400,8000,400,7600,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,DAY_1,1日,7500,5000,1000,4000,11500,575,10925,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,DAY_2,2日,13800,9000,1800,7200,21000,1050,19950,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,DAY_3,3日,19600,12500,2500,10000,29600,1480,28120,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,DAY_4,4日,24900,15500,3100,12400,37300,1865,35435,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,DAY_5,5日,29600,18000,3600,14400,44000,2200,41800,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,DAY_6,6日,34200,20000,4000,16000,50200,2510,47690,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,DAY_7,7日,38300,22000,4400,17600,55900,2795,53105,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,DAY_8,8日,42000,23500,4700,18800,60800,3040,57760,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,DAY_9,9日,45200,25000,5000,20000,65200,3260,61940,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_REGULAR,DAY_10,10日,48000,26500,5300,21200,69200,3460,65740,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,HALF_DAY_AM,午前半日,6800,3000,600,2400,9200,460,8740,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,HALF_DAY_PM,午後半日,6800,3000,600,2400,9200,460,8740,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,DAY_1,1日,9000,5000,1000,4000,13000,650,12350,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,DAY_2,2日,16600,9000,1800,7200,23800,1190,22610,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,DAY_3,3日,23500,12500,2500,10000,33500,1675,31825,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,DAY_4,4日,29900,15500,3100,12400,42300,2115,40185,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,DAY_5,5日,35600,18000,3600,14400,50000,2500,47500,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,DAY_6,6日,41000,20000,4000,16000,57000,2850,54150,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,DAY_7,7日,46000,22000,4400,17600,63600,3180,60420,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,DAY_8,8日,50400,23500,4700,18800,69200,3460,65740,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,DAY_9,9日,54300,25000,5000,20000,74300,3715,70585,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_ADULT_PREMIUM,DAY_10,10日,57600,26500,5300,21200,78800,3940,74860,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
