age,duration,label,wear_standalone_jpy,wear_addon_jpy,bundle_discount_jpy,standalone_early_jpy,addon_early_attributable_jpy,tax_status
ADULT,HALF_DAY_AM,午前半日,3000,2400,600,2850,2280,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,HALF_DAY_PM,午後半日,3000,2400,600,2850,2280,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,DAY_1,1日,5000,4000,1000,4750,3800,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,DAY_2,2日,9000,7200,1800,8550,6840,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,DAY_3,3日,12500,10000,2500,11875,9500,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,DAY_4,4日,15500,12400,3100,14725,11780,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,DAY_5,5日,18000,14400,3600,17100,13680,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,DAY_6,6日,20000,16000,4000,19000,15200,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,DAY_7,7日,22000,17600,4400,20900,16720,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,DAY_8,8日,23500,18800,4700,22325,17860,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,DAY_9,9日,25000,20000,5000,23750,19000,PROPOSED_GROSS_PENDING_CONFIRMATION
ADULT,DAY_10,10日,26500,21200,5300,25175,20140,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,HALF_DAY_AM,午前半日,2000,1600,400,1900,1520,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,HALF_DAY_PM,午後半日,2000,1600,400,1900,1520,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,DAY_1,1日,3500,2800,700,3325,2660,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,DAY_2,2日,6000,4800,1200,5700,4560,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,DAY_3,3日,8000,6400,1600,7600,6080,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,DAY_4,4日,10000,8000,2000,9500,7600,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,DAY_5,5日,11500,9200,2300,10925,8740,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,DAY_6,6日,13000,10400,2600,12350,9880,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,DAY_7,7日,14500,11600,2900,13775,11020,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,DAY_8,8日,16000,12800,3200,15200,12160,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,DAY_9,9日,17000,13600,3400,16150,12920,PROPOSED_GROSS_PENDING_CONFIRMATION
KIDS,DAY_10,10日,18000,14400,3600,17100,13680,PROPOSED_GROSS_PENDING_CONFIRMATION
